USStateCourtID,CourtID,USStateID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,State,FundingDescription,CourtLevelDescription
91,162,19,Circuit,GJ        ,GJ        ,S,Yes,Jury trials except in appeals.,https://courts.ky.gov/courts/Pages/CircuitCourt.aspx,91,Kentucky,State funded,General Jurisdiction
92,163,19,District,LJ        ,LJ        ,S,No,Jury trials in most cases.,https://courts.ky.gov/courts/Pages/districtCourt.aspx,92,Kentucky,State funded,Limited Jurisdiction
93,164,19,Family,GJ        ,GJ        ,S,No,,https://courts.ky.gov/courts/familycourt/Pages/default.aspx,93,Kentucky,State funded,General Jurisdiction
94,39,20,Supreme Court,COLR      ,COLR      ,S,No,,http://www.lasc.org/,94,Louisiana,State funded,Court of Last Resort
95,40,20,Courts of Appel,IAC       ,IAC       ,S,Yes,,http://www.lasc.org/links.asp#CourtsofAppeal,95,Louisiana,State funded,Intermediate Appellate Court
96,165,20,City & Parish,LJ        ,LJ        ,M,No,No jury trials.,http://www.lasc.org/links.asp#CityandParishCourts,96,Louisiana,State and local funding,Limited Jurisdiction
97,166,20,District,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,http://www.lasc.org/links.asp#DistrictCourts,97,Louisiana,State and local funding,General Jurisdiction
98,167,20,Family,GJ        ,GJ        ,M,No,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,98,Louisiana,State and local funding,General Jurisdiction
99,168,20,Justice of the Peace,LJ        ,LJ        ,M,No,No jury trials.,-99,99,Louisiana,State and local funding,Limited Jurisdiction
100,169,20,Juvenile,GJ        ,GJ        ,M,No,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,100,Louisiana,State and local funding,General Jurisdiction
101,170,20,Mayor's,LJ        ,LJ        ,L,No,No jury trials.,-99,101,Louisiana,Locally funded,Limited Jurisdiction
102,41,21,Supreme Judicial Court,COLR      ,COLR      ,S,Yes,,http://www.courts.maine.gov/maine_courts/supreme/index.shtml,102,Maine,State funded,Court of Last Resort
103,171,21,District,GJ        ,GJ        ,S,No,No jury trials.,http://www.courts.maine.gov/maine_courts/district/index.shtml,103,Maine,State funded,General Jurisdiction
104,172,21,Probate,LJ        ,GJ        ,L,No,No jury trials.,http://www.maineprobate.net/index.html,104,Maine,Locally funded,Limited Jurisdiction
105,173,21,Superior,GJ        ,GJ        ,S,Yes,Jury trials in some cases.,http://www.courts.maine.gov/maine_courts/superior/index.shtml,105,Maine,State funded,General Jurisdiction
106,42,22,Court of Appeals,COLR      ,COLR      ,S,No,,-99,106,Maryland,State funded,Court of Last Resort
107,43,22,Court of Special Appeals,IAC       ,IAC       ,S,No,,-99,107,Maryland,State funded,Intermediate Appellate Court
108,174,22,Circuit,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,-99,108,Maryland,State and local funding,General Jurisdiction
109,175,22,District,LJ        ,LJ        ,S,No,No jury trials.,-99,109,Maryland,State funded,Limited Jurisdiction
110,176,22,Orphan's,LJ        ,GJ        ,L,No,No jury trials.,-99,110,Maryland,Locally funded,Limited Jurisdiction
111,44,23,Supreme Judicial Court,COLR      ,COLR      ,S,Yes,,https://www.mass.gov/orgs/massachusetts-supreme-judicial-court,111,Massachusetts,State funded,Court of Last Resort
112,45,23,Appeals Court,IAC       ,IAC       ,S,Yes,,https://www.mass.gov/orgs/appeals-court,112,Massachusetts,State funded,Intermediate Appellate Court
113,177,23,Boston Municipal Court Dept,LJ        ,LJ        ,S,No,Jury trials.,https://www.mass.gov/orgs/boston-municipal-court,113,Massachusetts,State funded,Limited Jurisdiction
114,178,23,District Court Dept,LJ        ,LJ        ,S,No,Jury trials.,https://www.mass.gov/orgs/district-court,114,Massachusetts,State funded,Limited Jurisdiction
