State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
Maryland,Orphan's,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Massachusetts,Supreme Judicial Court,Court of Last Resort,State funded,Yes,-99,https://www.mass.gov/orgs/massachusetts-supreme-judicial-court
Massachusetts,Appeals Court,Intermediate Appellate Court,State funded,Yes,-99,https://www.mass.gov/orgs/appeals-court
Massachusetts,Boston Municipal Court Dept,Limited Jurisdiction,State funded,No,Jury trials.,https://www.mass.gov/orgs/boston-municipal-court
Massachusetts,District Court Dept,Limited Jurisdiction,State funded,No,Jury trials.,https://www.mass.gov/orgs/district-court
Massachusetts,Housing Court Dept,Limited Jurisdiction,State funded,No,Jury trials except in small claims.,https://www.mass.gov/orgs/housing-court/locations
Massachusetts,Juvenile Court Dept,Limited Jurisdiction,State funded,No,Jury trials.,https://www.mass.gov/orgs/juvenile-court
Massachusetts,Land Court Dept,Limited Jurisdiction,State funded,No,No jury trials.,https://www.mass.gov/orgs/land-court
Massachusetts,Probate & Family Court Dept,Limited Jurisdiction,State funded,No,No jury trials.,https://www.mass.gov/orgs/probate-and-family-court
Massachusetts,Superior Court Dept,General Jurisdiction,State funded,Yes,Jury trials.,https://www.mass.gov/orgs/superior-court
Michigan,Supreme Court,Court of Last Resort,State funded,No,-99,http://courts.mi.gov/courts/michigansupremecourt/pages/default.aspx
Michigan,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://courts.mi.gov/courts/coa/pages/default.aspx
Michigan,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials except in domestic relations.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx
Michigan,Court of Claims,General Jurisdiction,State and local funding,Yes,No jury trials.,http://courts.mi.gov/courts/coc/Pages/default.aspx
Michigan,District,Limited Jurisdiction,State and local funding,No,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx
Michigan,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx
Michigan,Probate,Limited Jurisdiction,State and local funding,No,Jury trials in some cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx
Minnesota,Supreme Court,Court of Last Resort,State funded,Yes,-99,http://www.mncourts.gov/About-The-Courts/SupremeCourt.aspx
Minnesota,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.mncourts.gov/About-The-Courts/CourtOfAppeals.aspx
Minnesota,District,General Jurisdiction,State funded,No,"Jury trials except in small claims, child protection, and non-extended jurisdiction juvenile cases.",http://www.mncourts.gov/Find-Courts.aspx
Mississippi,Supreme Court,Court of Last Resort,State funded,No,Assigns cases to the Court of Appeals.,-99
Mississippi,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,-99
Mississippi,Chancery,Limited Jurisdiction,State and local funding,No,Jury trials (limited).,-99
Mississippi,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,-99
Mississippi,County,Limited Jurisdiction,Locally funded,No,Jury trials (limited).,-99
Mississippi,Justice,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Mississippi,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Missouri,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.courts.mo.gov/page.jsp?id=27
Missouri,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://www.courts.mo.gov/page.jsp?id=261
Missouri,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,https://www.courts.mo.gov/page.jsp?id=321
Montana,Supreme Court,Court of Last Resort,State funded,No,-99,-99
Montana,City,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Montana,District,General Jurisdiction,State and local funding,Yes,Jury trials.,-99
Montana,Justice's Court,Limited Jurisdiction,Locally funded,No,Jury trials except in small claims.,-99
Montana,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Montana,Water,General Jurisdiction,State funded,No,No jury trials.,-99
Montana,Worker's Compensation,General Jurisdiction,State funded,No,No jury trials.,-99
Nebraska,Supreme Court,Court of Last Resort,State funded,No,-99,https://supremecourt.nebraska.gov/courts/supreme-court
Nebraska,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://supremecourt.nebraska.gov/courts/court-appeals
Nebraska,County,Limited Jurisdiction,State and local funding,No,Jury trials except in juvenile and small claims.,https://supremecourt.nebraska.gov/courts/county-courts
Nebraska,District,General Jurisdiction,State and local funding,No,Jury trials except in appeals.,https://supremecourt.nebraska.gov/courts/district-court
Nebraska,Separate Juvenile,Limited Jurisdiction,State and local funding,No,No jury trials.,https://supremecourt.nebraska.gov/courts/separate-juvenile-courts
Nebraska,Worker's Compensation,Limited Jurisdiction,State funded,No,No jury trials.,https://supremecourt.nebraska.gov/courts/workers-compensation-court
Nevada,Supreme Court,Court of Last Resort,State funded,No,Assigns cases to the Court of Appeals.,https://nvcourts.gov/supreme/
Nevada,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,-99
Nevada,District,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,https://nvcourts.gov/supreme/
Nevada,Justice,Limited Jurisdiction,Locally funded,No,"Jury trials except in small claimsl, traffic, and parking. ",https://nvcourts.gov/Find_a_Court/Justice_Courts/
Nevada,Municipal,Limited Jurisdiction,Locally funded,Yes,"Jury trials except in parking, traffic, and specific ordinance violations. ",https://nvcourts.gov/Find_a_Court/Municipal_Courts/
New Hampshire,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://www.courts.state.nh.us/supreme/index.htm
New Hampshire,Circuit,Limited Jurisdiction,State funded,No,No jury trials.,https://www.courts.state.nh.us/district/index.htm
New Hampshire,Superior,General Jurisdiction,State funded,Yes,Jury trials.,https://www.courts.state.nh.us/superior/index.htm
New Jersey,Supreme Court,Court of Last Resort,State funded,Yes,-99,-99
New Jersey,Appellate Division of Superior Court,Intermediate Appellate Court,State funded,Yes,-99,-99
New Jersey,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
New Jersey,Superior,General Jurisdiction,State and local funding,No,Jury trials in most cases.,-99
New Jersey,Tax,Limited Jurisdiction,State funded,Yes,No jury trials.,-99
New Mexico,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://supremecourt.nmcourts.gov/default.aspx
New Mexico,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://coa.nmcourts.gov/default.aspx
New Mexico,Bernalillo County Metropolitan,Limited Jurisdiction,Locally funded,No,Jury trials in some cases.,-99
New Mexico,District,General Jurisdiction,State and local funding,No,Jury trials.,https://www.nmcourts.gov/state-courts.aspx
New Mexico,Magistrate,Limited Jurisdiction,State and local funding,No,No jury trials.,https://www.nmcourts.gov/Magistrate-Courts/court-listing.aspx
New Mexico,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
New Mexico,Probate,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
