State,CourtName,CaseTypeDescription,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes
Arkansas,Circuit,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Administrative Agency Appeals,False,False,False,False,True,False,-98,-98,
Arkansas,District,Tort,False,False,False,False,False,False,-98,-98,
Arkansas,District,Contract,False,False,False,False,False,False,0,25000,
Arkansas,District,Employment,False,False,False,False,False,False,0,25000,
Arkansas,District,Probate/Estate,False,False,False,False,False,False,-98,-98,
Arkansas,District,Guardianship,False,False,False,False,False,False,-98,-98,
Arkansas,District,Landlord/Tenant,False,False,False,False,False,False,0,25000,
Arkansas,District,Small Claims,False,False,False,False,False,False,0,5000,
Arkansas,District,Misdemeanor,False,False,False,False,False,False,-98,-98,
Arkansas,District,Traffic Infractions,False,False,False,False,True,False,-98,-98,
Arkansas,District,Mortgage Foreclosure,False,False,False,False,False,False,0,25000,
Arkansas,District,Ordinance Violations,False,False,False,False,True,False,-98,-98,
Arkansas,District,Parking,False,False,False,False,True,False,-98,-98,
Arkansas,District,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,
Arkansas,District,Estate,False,False,False,False,False,False,-98,-98,
California,Superior,Tort,False,False,False,False,False,False,-98,-98,
California,Superior,Contract,False,False,False,False,False,False,-98,-98,
California,Superior,Employment,False,False,False,False,False,False,-98,-98,
California,Superior,Real Property,False,False,False,False,False,False,25000,NOMAX,
California,Superior,Probate/Estate,False,False,False,False,True,False,-98,-98,
California,Superior,Guardianship,False,False,False,False,True,False,-98,-98,
California,Superior,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
California,Superior,Mental Health,False,False,False,False,True,False,-98,-98,
California,Superior,Small Claims,False,False,False,False,True,False,-98,-98,
California,Superior,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
California,Superior,Writ,False,False,False,False,False,False,-98,-98,
California,Superior,Writ,False,False,True,False,False,False,-98,-98,
California,Superior,Civil Appeals from Limited Jurisdiction,False,False,False,False,True,False,-98,-98,
California,Superior,Dissolution,False,False,False,False,True,False,-98,-98,
California,Superior,Paternity,False,False,False,False,True,False,-98,-98,
California,Superior,Custody,False,False,False,False,True,False,-98,-98,
California,Superior,Support,False,False,False,False,True,False,-98,-98,
California,Superior,Visitation,False,False,False,False,True,False,-98,-98,
California,Superior,Adoption,False,False,False,False,True,False,-98,-98,
California,Superior,Misdemeanor,True,False,False,False,False,False,-98,-98,
California,Superior,Misdemeanor,False,False,False,False,True,False,-98,-98,
California,Superior,Felony,False,False,False,False,True,False,-98,-98,
California,Superior,Status Offenses,False,False,False,False,True,False,-98,-98,
California,Superior,Status Offenses,False,False,False,False,True,False,-98,-98,
California,Superior,Juvenile,False,False,False,False,True,False,-98,-98,
California,Superior,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
California,Superior,Probate/Wills/Interstate,False,False,False,False,True,False,-98,-98,
California,Superior,Civil Protections Orders,False,False,False,False,True,False,-98,-98,
California,Superior,Estate,False,False,False,False,True,False,-98,-98,
California,Superior,Tax,False,False,False,False,False,False,-98,-98,
California,Superior,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
California,Superior,Administrative Agency Appeals,False,False,False,False,True,False,-98,-98,
Colorado,County,Tort,False,False,False,False,False,False,-98,-98,
Colorado,County,Contract,False,False,False,False,False,False,-98,-98,
Colorado,County,Employment,False,False,False,False,False,False,-98,-98,
Colorado,County,Real Property,False,False,False,False,False,False,0,15000,
